                                    Reporte de Prueba de Spotify Ordenado por Titulo
========================================================================================================================
                                            Titulo                                           Artista
                             LIVE LIKE WE'RE DYING                                        Kris Allen
                            LIVE WHILE WE'RE YOUNG                                     One Direction
                                    LIVE YOUR LIFE                                              T.i.
                                    LIVE YOUR LIFE                                              T.i.
                                      LIVIN' IT UP                                           Ja Rule
                                       LOCA PEOPLE                                          Sak Noel
                                          LOCATION                                              Dave
                                       LOCKED AWAY                                           R. City
                              LOCKED OUT OF HEAVEN                                        Bruno Mars
                              LOCKED OUT OF HEAVEN                                        Bruno Mars
                                         LOCKED UP                                              Akon
                                      LOLA'S THEME                                 The Shapeshifters
                                          LOLLIPOP                                         Lil Wayne
                                     LONDON BRIDGE                                            Fergie
                                            LONELY                                              Akon
                                    LONELY NO MORE                                        Rob Thomas
                                   LONELY TOGETHER                                            Avicii
                                        LOOK ALIVE                                        Blocboy Jb
                                    LOOK AT ME NOW                                       Chris Brown
                                   LOOK BACK AT IT                            A Boogie Wit Da Hoodie
                                LOOK RIGHT THROUGH                                       Storm Queen
                          LOOK WHAT YOU MADE ME DO                                      Taylor Swift
                                      LOSE CONTROL                                     Missy Elliott
                                    LOSE MY BREATH                                   Destiny's Child
                                     LOSE YOURSELF                                            Eminem
                            LOSE YOURSELF TO DANCE                                         Daft Punk
                                              LOST                                       Frank Ocean
                                  LOST IN THE FIRE                                     Gesaffelstein
                                  LOST WITHOUT YOU                                     Delta Goodrem
                                            LOUDER                                          Dj Fresh
                                              LOVE                                   Musiq Soulchild
                                              LOVE                                      Keyshia Cole
                               LOVE AT FIRST SIGHT                                     Kylie Minogue
                           LOVE DON'T COST A THING                                    Jennifer Lopez
                                        LOVE DRUNK                                   Boys Like Girls
                                   LOVE GENERATION                                       Bob Sinclar
                                 LOVE IN THIS CLUB                                             Usher
                                         LOVE LIES                                            Khalid
                                     LOVE LOCKDOWN                                        Kanye West
                                     LOVE LOCKDOWN                                        Kanye West
                                      LOVE MACHINE                                       Girls Aloud
                                           LOVE ME                                         Lil Wayne
                                     LOVE ME AGAIN                                       John Newman
                                    LOVE ME HARDER                                     Ariana Grande
                                    LOVE ME HARDER                                     Ariana Grande
                               LOVE ME LIKE YOU DO                                    Ellie Goulding
                                     LOVE RUNS OUT                                       Onerepublic
                                    LOVE SEX MAGIC                                             Ciara
                                        LOVE STORY                                      Taylor Swift
                              LOVE THE WAY YOU LIE                                            Eminem
                                        LOVE TODAY                                              Mika
                         LOVE YOU LIKE A LOVE SONG                          Selena Gomez & The Scene
                                     LOVE YOURSELF                                     Justin Bieber
                               LOVE. FEAT. ZACARI.                                    Kendrick Lamar
                                          LOVEGAME                                         Lady Gaga
                                            LOVELY                                     Billie Eilish
                                            LOVELY                                     Billie Eilish
                                          LOVERBOY                                      Mariah Carey
                                LOVERS AND FRIENDS                      Lil Jon & The East Side Boyz
                                 LOVERS ON THE SUN                                      David Guetta
                                        LOVESTONED                                 Justin Timberlake
                                   LOVIN' EACH DAY                                     Ronan Keating
                                               LOW                                          Flo Rida
                                          LOW LIFE                                            Future
                                             LOYAL                                       Chris Brown
                                      LUCID DREAMS                                        Juice Wrld
                                             LUCKY                                    Britney Spears
                                         LUSH LIFE                                      Zara Larsson
                                     LUST FOR LIFE                                      Lana Del Rey
                                               LUV                                        Tory Lanez
                                      LUV U BETTER                                         Ll Cool J
                                      M.A.A.D CITY                                    Kendrick Lamar
                                               MAD                                                Ne
                                          MAD LOVE                                             Mabel
                                         MAD WORLD                                        Gary Jules
                                             MAGIC                                             B.o.b
                                       MAGIC STICK                                          Lil' Kim
                                          MAGNOLIA                                     Playboi Carti
                                      MAKE IT RAIN                                           Fat Joe
                                          MAKE LUV                                            Room 5
                                    MAKE ME BETTER                                          Fabolous
                                   MAKES ME WONDER                                          Maroon 5
                                              MAMA                                        Jonas Blue
                                           MAMA DO                                        Pixie Lott
                                          MAN DOWN                                           Rihanna
                                   MAN OF THE YEAR                                       Schoolboy Q
                                     MAN'S NOT HOT                                          Big Shaq
                                             MANDY                                          Westlife
                                          MANEATER                                     Nelly Furtado
                                              MAPS                                          Maroon 5
                                       MARIA MARIA                                           Santana
                                         MARRY YOU                                        Bruno Mars
                                          MASK OFF                                            Future
                                            ME & U                                            Cassie
                                   ME - MYSELF & I                                                 G
                                 ME - MYSELF AND I                                           Beyonce
                              ME AGAINST THE MUSIC                                    Britney Spears
                            ME AND MY BROKEN HEART                                            Rixton
                                          ME NIEGO                                              Reik
                                     MEANT TO LIVE                                        Switchfoot
                                   MEET ME HALFWAY                                   Black Eyed Peas
                                          MEMORIES                                      David Guetta
                                             MERCY                                             Duffy
                                             MERCY                                        Kanye West
                                             MERCY                                      Shawn Mendes
                                         MESMERIZE                                           Ja Rule
                                          MI GENTE                                          J Balvin
                                               MIA                                         Bad Bunny
                                     MIAMI 2 IBIZA                               Swedish House Mafia
                                            MIDDLE                                          Dj Snake
                                      MIDDLE CHILD                                           J. Cole
                               MIDDLE OF THE NIGHT                                         The Vamps
                                     MIDNIGHT CITY                                               M83
                                         MILKSHAKE                                             Kelis
                                    MILLION VOICES                                        Otto Knows
                                       MILLIONAIRE                                             Kelis
                                              MINE                                             Bazzi
                                           MIRRORS                                 Justin Timberlake
                                            MISERY                                          Maroon 5
                                   MISERY BUSINESS                                          Paramore
                                  MISS INDEPENDENT                                    Kelly Clarkson
                                  MISS INDEPENDENT                                                Ne
                                          MISS YOU                                           Aaliyah
                                          MISS YOU                                      Cashmere Cat
                                       MISSING YOU                                              Case
                                          MO BAMBA                                         Sheck Wes
                                       MOCKINGBIRD                                            Eminem
                                             MONEY                                           Cardi B
                                MONEY IN THE GRAVE                                             Drake
                                       MONEY MAKER                                          Ludacris
                                  MONEY ON MY MIND                                         Sam Smith
                                           MONSTER                                           Skillet
                                         MOONLIGHT                                      Xxxtentacion
                                              MORE                                             Usher
                                 MORE THAN A WOMAN                                           Aaliyah
                                MORE THAN YOU KNOW                                Axwell /\ Ingrosso
                                        MOST GIRLS                                              P!nk
                                        MOTIVATION                                     Kelly Rowland
                                        MOTIVATION                                           Normani
                                        MOTORSPORT                                             Migos
                                        MOVE BITCH                              Disturbing Tha Peace
                                      MOVE YA BODY                                          Nina Sky
                                    MOVE YOUR BODY                                         Eiffel 65
                                    MOVE YOUR FEET                                     Junior Senior
                                 MOVES LIKE JAGGER                                          Maroon 5
                                      MR. SAXOBEAT                                    Alexandra Stan
                                       MS. JACKSON                                           Outkast
                                     MS. NEW BOOTY                                     Bubba Sparxxx
                                MUNDIAN TO BACH KE                                        Panjabi Mc
                          MURDER ON THE DANCEFLOOR                                      Sophie Ellis
                                             MUSIC                                           Madonna
                                             MUSIC                                      Erick Sermon
                                           MY BAND                                               D12
                                            MY BOO                                             Usher
                                      MY CHICK BAD                                          Ludacris
                                     MY FIRST KISS                                             3oh!3
                                   MY HAPPY ENDING                                     Avril Lavigne
                                          MY HOUSE                                          Flo Rida
                                          MY HOUSE                                          Flo Rida
                                          MY HUMPS                                   Black Eyed Peas
                                       MY IMMORTAL                                       Evanescence
                                           MY LIFE                                          The Game
                    MY LIFE WOULD SUCK WITHOUT YOU                                    Kelly Clarkson
                                           MY LOVE                                          Westlife
                                           MY LOVE                                 Justin Timberlake
                                           MY LOVE                                 Justin Timberlake
                                           MY LOVE                                          Route 94
                              MY LOVE IS LIKE...WO                                              Maya
                                          MY MY MY                                 Armand Van Helden
                                 MY NECK - MY BACK                                              Khia
                                          MY PLACE                                             Nelly
                                    MY PREROGATIVE                                    Britney Spears
                                      MY SACRIFICE                                             Creed
            MY SONGS KNOW WHAT YOU DID IN THE DARK                                      Fall Out Boy
                                           MY TYPE                                          Saweetie
                                            MY WAY                                         Fetty Wap
                                            MY WAY                                     Calvin Harris
                                             NA NA                                        Trey Songz
                                             NA NA                                        Trey Songz
                                             NAIVE                                         The Kooks
                                        NASTY GIRL                              The Notorious B.i.g.
                                           NATURAL                                   Imagine Dragons
                                         NATURALLY                          Selena Gomez & The Scene
                                      NAUGHTY GIRL                                           Beyonce
                                            NEED U                                       Duke Dumont
                                      NEED YOU NOW                                            Lady A
                                         NEEDED ME                                           Rihanna
                                           NESSAJA                                           Scooter
                                 NEVER BE LIKE YOU                                             Flume
                                 NEVER BE THE SAME                                    Camila Cabello
                           NEVER BE THE SAME AGAIN                                         Melanie C
                                  NEVER FORGET YOU                                      Zara Larsson
                                  NEVER FORGET YOU                                              Mnek
                                   NEVER LEAVE YOU                                           Lumidee
                                   NEVER SAY NEVER                                          The Fray
                                         NEVERMIND                                      Dennis Lloyd
                                        NEW DIVIDE                                       Linkin Park
                                         NEW FLAME                                       Chris Brown
                                         NEW RULES                                          Dua Lipa
                                   NI**AS IN PARIS                                               Jay
                                     NICE FOR WHAT                                             Drake
                                     NIGHT CHANGES                                     One Direction
                                  NIGHTS LIKE THIS                                           Kehlani
                             NINE MILLION BICYCLES                                       Katie Melua
                                                NO                                    Meghan Trainor
                                        NO BRAINER                                         Dj Khaled
                                          NO HANDS                                 Waka Flocka Flame
                                          NO HANDS                                 Waka Flocka Flame
                                     NO LETTING GO                                      Wayne Wonder
                                            NO LIE                                         Sean Paul
                                          NO LIMIT                                                 G
                                          NO MONEY                                          Galantis
                                           NO MORE                                         Ruff Endz
                                           NO MORE                                               3lw
                                     NO MORE DRAMA                                     Mary J. Blige
                                            NO ONE                                       Alicia Keys
                                       NO PROMISES                                       Shayne Ward
                                       NO PROMISES                                       Cheat Codes
                              NO TEARS LEFT TO CRY                                     Ariana Grande
                                       NO TOMORROW                                             Orson
                                           NO TYPE                                      Rae Sremmurd
                                    NOBODY TO LOVE                                             Sigma
                         NOBODY WANTS TO BE LONELY                                      Ricky Martin
                                     NOBODY'S HOME                                     Avril Lavigne
                                           NONSTOP                                             Drake
                                        NOT AFRAID                                            Eminem
                                          NOT FAIR                                        Lily Allen
                                       NOT IN LOVE                                  Enrique Iglesias
                                          NOT NICE                                     Partynextdoor
                                           NOTHIN'                                          N.o.r.e.
                                    NOTHIN' ON YOU                                             B.o.b
                       NOTHING BREAKS LIKE A HEART                                       Mark Ronson
                                   NOW YOU'RE GONE                                        Basshunter
                                           NU FLOW                                        Big Brovaz
                                              NUMB                                       Linkin Park
                                              NUMB                                      Hayden James
                                     NUMB / ENCORE                                               Jay
                                          NUMBER 1                                    Tinchy Stryder
                                          OBLIVION                                            Grimes
                                          OBSESSED                                      Mariah Carey
                                      OF THE NIGHT                                          Bastille
                                                OH                                             Ciara
                                            OH BOY                                            Camron
                                     OLD TOWN ROAD                                         Lil Nas X
                                     OLD TOWN ROAD                                         Lil Nas X
                                              OMEN                                       The Prodigy
                                               OMG                                             Usher
                                         ON A ROLL                                          Ashley O
                                           ON FIRE                                       Lloyd Banks
                                        ON MY MIND                                    Ellie Goulding
                                      ON THE FLOOR                                    Jennifer Lopez
                                    ON THE HOTLINE                                      Pretty Ricky
                                               ONE                                     Mary J. Blige
                                               ONE                               Swedish House Mafia
                                     ONE CALL AWAY                                            Chingy
                                         ONE DANCE                                             Drake
                          ONE DAY / RECKONING SONG                           Asaf Avidan & The Mojos
                                          ONE KISS                                     Calvin Harris
                                   ONE LAST BREATH                                             Creed
                                     ONE LAST TIME                                     Ariana Grande
                                          ONE LOVE                                              Blue
                                    ONE MINUTE MAN                                     Missy Elliott
                                    ONE MORE NIGHT                                          Maroon 5
                                     ONE MORE TIME                                         Daft Punk
                                ONE STEP AT A TIME                                     Jordin Sparks
                                   ONE THING RIGHT                                        Marshmello
                                          ONE TIME                                     Justin Bieber
                                ONE WAY OR ANOTHER                                     One Direction
                                          ONE WISH                                             Ray J
                                         ONLY GIRL                                           Rihanna
                                        ONLY HUMAN                                    Jonas Brothers
                      ONLY LOVE CAN HURT LIKE THIS                                      Paloma Faith
                                         ONLY TIME                                              Enya
                                            ONLY U                                           Ashanti
                                              OOPS                                             Tweet
                            OOPS!...I DID IT AGAIN                                    Britney Spears
                                           OPHELIA                                     The Lumineers
                                           OPTIONS                                               Nsg
                                         OTHERSIDE                             Red Hot Chili Peppers
                                        OTRO TRAGO                                              Sech
                                               OUI                                           Jeremih
                                      OUT OF REACH                                         Gabrielle
                                           OUTSIDE                                     Calvin Harris
                                     OUTTA CONTROL                                           50 Cent
                                   OUTTA MY SYSTEM                                           Bow Wow
                                              OVER                                             Drake
                                     OVER AND OVER                                             Nelly
                               OVERNIGHT CELEBRITY                                            Twista
                                     OVERPROTECTED                                    Britney Spears
                                          P.I.M.P.                                           50 Cent
                                             PANDA                                         Desiigner
                                            PANINI                                         Lil Nas X
                                         PAPAOUTAI                                           Stromae
                                         PAPARAZZI                                         Lady Gaga
                                      PAPER PLANES                                            M.i.a.
                                         PAPERCUTS                                              Illy
                                          PARADISE                                          Coldplay
                                          PARADISE                                          Coldplay
                                         PARALYZER                                     Finger Eleven
                                         PARALYZER                                     Finger Eleven
                                             PARIS                                  The Chainsmokers
                                        PART OF ME                                        Katy Perry
                               PARTY IN THE U.S.A.                                       Miley Cyrus
                            PARTY LIKE A ROCK STAR                                         Shop Boyz
                                 PARTY ROCK ANTHEM                                             Lmfao
                                          PARTY UP                                               Dmx
                                          PASS OUT                                      Tinie Tempah
                      PASS THE COURVOISIER PART II                                      Busta Rhymes
                                      PASSIONFRUIT                                             Drake
                                          PATIENCE                                         Take That
                                          PATIENCE                                         Take That
                                          PAYPHONE                                          Maroon 5
                                   PEACHES & CREAM                                               112
                                           PERFECT                                     One Direction
                                           PERFECT                                        Ed Sheeran
                                 PERFECT STRANGERS                                        Jonas Blue
                                        PHOTOGRAPH                                        Nickelback
                                       PIECE OF ME                                    Britney Spears
                               PIECE OF YOUR HEART                                            Meduza
                                      PIECES OF ME                                    Ashlee Simpson
                                        PILLOWTALK                                              Zayn
                                      PINK + WHITE                                       Frank Ocean
                                            PJANOO                                        Eric Prydz
                                        PLAIN JANE                                         A$ap Ferg
                                              PLAY                                    Jennifer Lopez
                                              PLAY                                      David Banner
                                         PLAY HARD                                      David Guetta
                                   PLEASE DON'T GO                                        Joel Adams
                                         PLEASE ME                                           Cardi B
                                         PLUG WALK                                      Rich The Kid
                             POCKETFUL OF SUNSHINE                               Natasha Bedingfield
                                     POINT OF VIEW                                      Db Boulevard
                                        POKER FACE                                         Lady Gaga
                                           POMPEII                                          Bastille
                                     PON DE REPLAY                                           Rihanna
                              POP - LOCK & DROP IT                                              Huey
                                           POP OUT                                            Polo G
                                         POP STYLE                                             Drake
                                     POP YA COLLAR                                             Usher
                                       POST MALONE                                         Sam Feldt
                                        POST TO BE                                           Omarion
                                   POUND THE ALARM                                       Nicki Minaj
                                        POWER TRIP                                           J. Cole
                                        POWERGLIDE                                      Rae Sremmurd
                                       PRAY FOR ME                                        The Weeknd
                                       PRAYER IN C                          Lilly Wood And The Prick
                                       PRETTY GIRL                                  Maggie Lindemann
                                  PRETTY GIRL ROCK                                       Keri Hilson
                                 PRETTY GREEN EYES                                         Ultrabeat
                                         PRICE TAG                                          Jessie J
                                        PRIMADONNA                                            Marina
                                 PRINCESS OF CHINA                                          Coldplay
                                           PROBLEM                                     Ariana Grande
                                       PROMISCUOUS                                     Nelly Furtado
                                           PROMISE                                       Jagged Edge
                                           PROMISE                                             Ciara
                                PROPANE NIGHTMARES                                          Pendulum
                                  PROPER EDUCATION                                        Eric Prydz
                                            PSYCHO                                       Post Malone
                                   PULLIN' ME BACK                                            Chingy
                                           PUMP IT                                   Black Eyed Peas
                                   PUMPED UP KICKS                                 Foster The People
                                       PURE SHORES                                        All Saints
                                        PURE WATER                                           Mustard
                                      PURPLE PILLS                                               D12
                                   PUSH THE BUTTON                                         Sugababes
                                            PUT ON                                             Jeezy
                              PUT THAT WOMAN FIRST                                            Jaheim
                     PUT YOUR HANDS UP FOR DETROIT                                    Fedde Le Grand
                     PUT YOUR HANDS UP FOR DETROIT                                    Fedde Le Grand
                                            R.I.P.                                          Rita Ora
                                         RACK CITY                                              Tyga
                                             RADIO                                   Robbie Williams
                                       RADIOACTIVE                                   Imagine Dragons
                                        RAIN ON ME                                           Ashanti
                                        RAINY DAYZ                                     Mary J. Blige
                                  RAISE YOUR GLASS                                              P!nk
                                        RAKE IT UP                                          Yo Gotti
                                            RANSOM                                         Lil Tecca
                                           RAPTURE                                               Iio
                                         RATHER BE                                      Clean Bandit
                                 READ ALL ABOUT IT                                   Professor Green
                       READ ALL ABOUT IT - PT. III                                       Emeli Sande
                                    READ YOUR MIND                                             Avant
                               READY FOR YOUR LOVE                                       Gorgon City
                                      READY OR NOT                                   Bridgit Mendler
                                        RED LIGHTS                                            Tiesto
                                   REGGAETON LENTO                                              Cnco
                                             REHAB                                     Amy Winehouse
                                        RELEASE ME                                             Agnes
                                            RELOAD                                Sebastian Ingrosso
                                 REMEMBER THE NAME                                        Fort Minor
                                         RENEGADES                                     X Ambassadors
                                         RENEGADES                                     X Ambassadors
                                            REPLAY                                              Iyaz
                                          REPTILIA                                       The Strokes
                                    RIC FLAIR DRIP                                            Offset
                                         RICH GIRL                                      Gwen Stefani
                                         RICH LOVE                                       Onerepublic
                                              RIDE                                      Lana Del Rey
                                              RIDE                                 Twenty One Pilots
                                           RIDE IT                                            Regard
                                       RIDE WIT ME                                             Nelly
                                            RIDIN'                                    Chamillionaire
                                       RIDIN' SOLO                                      Jason Derulo
                                    RIGHT ABOVE IT                                         Lil Wayne
                                         RIGHT NOW                                              Akon
                                       RIGHT ROUND                                          Flo Rida
                                       RIGHT THURR                                            Chingy
                                           RIPTIDE                                         Vance Joy
                                              RISE                                         Gabrielle
                                              RISE                                         Gabrielle
                                              RISE                                        Jonas Blue
                                       RISE & FALL                                       Craig David
                                             RIVER                                            Eminem
                                         RIVERSIDE                                     Sidney Samson
                                              ROAR                                        Katy Perry
                                           ROBBERY                                        Juice Wrld
                                           ROCK DJ                                   Robbie Williams
                                     ROCK THE BOAT                                           Aaliyah
                                   ROCK THIS PARTY                                       Bob Sinclar
                                        ROCK WIT U                                           Ashanti
                                    ROCK YOUR BODY                                 Justin Timberlake
                                          ROCKABYE                                      Clean Bandit
                                         ROCKETEER                                 Far East Movement
                                 ROCKIN' THAT SHIT                                               The
                                          ROCKSTAR                                        Nickelback
                                          ROCKSTAR                                       Post Malone
                                             ROLEX                                         Ayo & Teo
                                           ROLL UP                                       Wiz Khalifa
                                           ROLLIN'                                       Limp Bizkit
                               ROLLING IN THE DEEP                                             Adele
                                           ROLLOUT                                          Ludacris
                                             ROMEO                                     Basement Jaxx
                                             ROSES                                  The Chainsmokers
                                       ROUND ROUND                                         Sugababes
                                            ROYALS                                             Lorde
                                              RUBY                                     Kaiser Chiefs
                                              RUDE                                            Magic!
                                          RUDE BOY                                           Rihanna
                                    RULE THE WORLD                                         Take That
                                     RUMOUR HAS IT                                             Adele
                                               RUN                                       Leona Lewis
                                           RUN IT!                                       Chris Brown
                                     RUN THIS TOWN                                               Jay
                                           RUNAWAY                                          Galantis
